@RELATION presence

@ATTRIBUTE total_presence_sig_cnt NUMERIC
@ATTRIBUTE total_sig_burst_cnt NUMERIC
@ATTRIBUTE avg_sig_interval NUMERIC
@ATTRIBUTE class {present,empty}

@WEIGHT 1.0,1.0,1.0

@DATA
1,0,28783.0,present
4,1,4465.5,present
8,4,2739.75,present
8,6,1092.0,present
0,0,45645.0,present
2,1,25740.0,present
0,0,102524.0,present
0,0,133100.0,present
0,0,163676.0,present
7,2,26029.85714285714,present
0,0,38251.0,present
0,0,68515.0,present
0,0,112133.0,empty
0,0,142397.0,empty
2,0,78468.5,empty
0,0,45053.0,empty
0,0,75317.0,empty
7,1,14430.0,empty
0,0,40435.0,empty
0,0,71011.0,empty
9,2,10226.666666666666,empty
0,0,34819.0,empty
3,0,19994.0,empty
0,0,33806.0,empty
0,0,52681.0,empty
0,0,82945.0,empty
0,0,113521.0,empty
0,0,143785.0,empty
0,0,174049.0,empty
0,0,204625.0,empty
0,0,294169.0,empty
0,0,324745.0,empty
0,0,355321.0,empty
0,0,385897.0,empty
2,0,207402.0,empty
6,1,1404.0,empty
5,1,9640.8,empty
0,0,48984.0,empty
0,0,79561.0,empty
0,0,110137.0,empty
0,0,140401.0,empty
0,0,170977.0,empty
0,0,228088.0,empty
2,0,13065.0,empty
3,0,3874.0,empty
0,0,54694.0,empty
0,0,85270.0,empty
0,0,35131.0,empty
6,0,9789.0,empty
0,0,34117.0,empty
0,0,64382.0,empty
0,0,94958.0,empty
1,0,113958.0,empty
0,0,43103.0,empty
0,0,73679.0,empty
0,0,31402.0,empty
0,0,61979.0,empty
5,1,4040.4,empty
0,0,40170.0,empty
0,0,70434.0,empty
0,0,101010.0,empty
0,0,131274.0,empty
2,1,78156.0,empty
1,0,33540.0,empty
5,0,5257.4,empty
1,0,20670.0,empty
0,0,44538.0,empty
2,0,32994.0,empty
0,0,38454.0,empty
0,0,84536.0,empty
0,0,115112.0,empty
0,0,145376.0,empty
0,0,175952.0,empty
0,0,206528.0,empty
0,0,237105.0,empty
1,0,16926.0,empty
8,2,4485.0,empty
0,0,37378.0,empty
0,0,67954.0,empty
0,0,98187.0,empty
0,0,128763.0,empty
0,0,164066.0,empty
0,0,194642.0,empty
0,0,224906.0,empty
2,1,121251.5,empty
2,1,12753.0,empty
2,1,20865.0,empty
0,0,39343.0,empty
0,0,69919.0,empty
0,0,100807.0,empty
0,0,33883.0,empty
0,0,64147.0,empty
0,0,60653.0,empty
0,0,91541.0,empty
0,0,122117.0,empty
0,0,152381.0,empty
6,3,27625.0,empty
0,0,41855.0,empty
0,0,75099.0,empty
0,0,105363.0,empty
0,0,135939.0,empty
0,0,166515.0,empty
0,0,197091.0,empty
0,0,227355.0,empty
6,1,44166.333333333336,empty
4,1,2925.0,empty
0,0,48188.0,empty
0,0,78764.0,empty
0,0,109341.0,empty
0,0,139917.0,empty
0,0,297477.0,empty
0,0,327741.0,empty
0,0,358317.0,empty
0,0,388893.0,empty
6,0,67316.66666666667,empty
0,0,42089.0,empty
0,0,166000.0,empty
0,0,196576.0,empty
0,0,227152.0,empty
0,0,257416.0,empty
0,0,287680.0,empty
0,0,317944.0,empty
0,0,110042.0,empty
0,0,140307.0,empty
0,0,170571.0,empty
0,0,201459.0,empty
0,0,231723.0,empty
3,1,78853.0,empty
0,0,102570.0,empty
0,0,133458.0,empty
1,0,160290.0,empty
0,0,33384.0,empty
0,0,63648.0,empty
0,0,94536.0,empty
0,0,135689.0,empty
0,0,166577.0,empty
4,2,45201.25,empty
5,2,7581.6,empty
1,0,1092.0,empty
0,0,59405.0,empty
2,0,10218.0,empty
0,0,45521.0,empty
0,0,76097.0,empty
1,0,77142.0,empty
3,0,18668.0,empty
