@RELATION presence

@ATTRIBUTE total_presence_sig_cnt NUMERIC
@ATTRIBUTE total_sig_burst_cnt NUMERIC
@ATTRIBUTE avg_sig_interval NUMERIC
@ATTRIBUTE class {present,empty}

@WEIGHT 1.0,1.0,1.0

@DATA
0,0,709037.0,empty
0,0,740252.0,empty
0,0,770719.0,empty
0,0,801217.0,empty
0,0,831528.0,empty
0,0,861745.0,empty
0,0,891838.0,empty
0,0,922414.0,empty
0,0,1035046.0,empty
0,0,1065310.0,empty
0,0,1095886.0,empty
0,0,1125667.0,empty
0,0,1156243.0,empty
0,0,1186819.0,empty
0,0,1217707.0,empty
0,0,1248283.0,empty
0,0,1278235.0,empty
0,0,1308546.0,empty
0,0,1596491.0,empty
0,0,1627067.0,empty
0,0,1657331.0,empty
0,0,1688235.0,empty
0,0,1719123.0,empty
1,0,1749246.0,empty
1,0,30498.0,present
6,2,3627.0,present
3,2,5148.0,present
1,0,42666.0,present
0,0,49218.0,empty
0,0,80418.0,empty
0,0,111618.0,empty
0,0,142506.0,empty
0,0,172770.0,empty
0,0,203346.0,empty
0,0,233377.0,empty
0,0,263734.0,empty
0,0,293686.0,empty
0,0,324262.0,empty
0,0,361078.0,empty
0,0,391030.0,empty
0,0,421918.0,empty
0,0,452541.0,empty
0,0,483305.0,empty
0,0,513709.0,empty
0,0,543973.0,empty
0,0,574861.0,empty
0,0,612613.0,empty
0,0,643501.0,empty
0,0,733186.0,empty
0,0,763138.0,empty
0,0,793714.0,empty
0,0,824290.0,empty
0,0,855178.0,empty
0,0,885442.0,empty
0,0,915394.0,empty
0,0,946282.0,empty
0,0,976234.0,empty
0,0,1006498.0,empty
0,0,1096058.0,empty
0,0,1126634.0,empty
0,0,1157210.0,empty
0,0,1187162.0,empty
0,0,1217426.0,empty
0,0,1247690.0,empty
0,0,1278578.0,empty
0,0,1308530.0,empty
0,0,1339418.0,empty
0,0,1369683.0,empty
0,0,1418698.0,empty
0,0,1449586.0,empty
0,0,1479538.0,empty
0,0,1510426.0,empty
0,0,1541314.0,empty
0,0,1571266.0,empty
0,0,1602154.0,empty
0,0,1632730.0,empty
0,0,1663618.0,empty
0,0,1694506.0,empty
0,0,1910208.0,empty
0,0,1940784.0,empty
0,0,1971173.0,empty
0,0,2001203.0,empty
0,0,2031155.0,empty
0,0,2061481.0,empty
0,0,2091808.0,empty
0,0,2122384.0,empty
0,0,2152960.0,empty
0,0,2183302.0,empty
0,0,2252535.0,empty
0,0,2282971.0,empty
0,0,2313547.0,empty
0,0,2344123.0,empty
0,0,2374137.0,empty
0,0,2404261.0,empty
0,0,2434525.0,empty
0,0,2464539.0,empty
0,0,2494491.0,empty
0,0,2525067.0,empty
0,0,2919249.0,empty
0,0,2949825.0,empty
0,0,2980401.0,empty
0,0,3010384.0,empty
0,0,3040960.0,empty
0,0,3071536.0,empty
0,0,3102112.0,empty
0,0,3132688.0,empty
1,0,62946.0,present
6,2,6643.0,present
0,0,33602.0,present
1,0,46020.0,present
0,0,47689.0,present
0,0,77828.0,present
0,0,79950.0,present
0,0,110526.0,present
0,0,140790.0,present
0,0,170742.0,present
0,0,201630.0,present
0,0,231583.0,present
12,7,858.0,present
7,1,2852.5714285714284,present
4,2,7371.25,present
6,1,3237.0,present
2,0,10452.0,present
11,6,1652.1818181818182,present
8,4,2106.0,present
13,6,1794.0,present
12,6,1618.5,present
3,2,7852.0,present
11,6,2098.909090909091,present
9,5,2400.6666666666665,present
9,6,1464.6666666666667,present
7,3,5003.142857142857,present
9,4,1126.6666666666667,present
7,3,5125.714285714285,present
10,1,2418.0,present
13,2,1351.2307692307693,present
9,0,3094.1111111111113,present
13,2,1662.0,present
14,1,1635.7857142857142,present
15,4,1404.0,present
14,2,1476.4285714285713,present
12,4,1742.0,present
7,2,4200.857142857143,present
6,2,1404.0,present
10,2,2418.0,present
10,5,2199.6,present
2,1,1092.0,present
8,4,5908.5,present
6,2,3796.0,present
10,6,2207.4,present
5,0,5350.8,present
2,0,5655.0,present
1,0,47034.0,present
8,1,2798.25,present
11,3,1616.7272727272727,present
8,3,3812.25,present
8,0,2544.75,present
4,0,7995.0,present
8,2,2671.5,present
6,1,4323.833333333333,present
7,2,4486.142857142857,present
8,1,3305.25,present
7,1,3619.285714285714,present
10,1,2316.6,present
1,0,10218.0,present
0,0,49436.0,present
2,0,34078.5,present
4,2,7176.0,present
8,4,3246.75,present
10,5,2511.6,present
8,2,2720.25,present
6,1,3263.0,present
7,1,4925.142857142857,present
9,1,2305.3333333333335,present
